epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,171.736,2.17556,1.81418,1.87864,0.24882,0.24,0.2702,0.07453,2.40558,2.52488,2.10197,0.00182972,0.00182972,0.00182972
45,175.17,2.28202,1.74869,1.89191,0.30661,0.16,0.20632,0.05315,2.55517,3.5056,2.21598,0.00182576,0.00182576,0.00182576
46,178.679,2.17103,1.64117,1.90713,0.45925,0.40793,0.49009,0.15541,2.11175,1.87383,1.94045,0.0018218,0.0018218,0.0018218
47,182.329,2.19947,1.66815,1.99448,0.42786,0.68,0.51818,0.17863,2.25611,2.03618,2.03918,0.00181784,0.00181784,0.00181784
48,185.865,2.20163,1.81699,1.86656,0.3426,0.4589,0.36962,0.14775,2.09243,1.68255,1.99405,0.00181388,0.00181388,0.00181388
49,189.319,2.18612,1.79913,1.86394,0.42106,0.52,0.52901,0.20036,2.17346,1.81502,1.96861,0.00180992,0.00180992,0.00180992
50,192.869,2.2138,1.84421,1.80345,0.38027,0.68,0.54972,0.19589,2.23452,5.56845,2.01954,0.00180596,0.00180596,0.00180596
51,196.322,2.01275,1.72472,1.74359,0.50253,0.48,0.50366,0.17545,2.09553,2.03358,2.01723,0.001802,0.001802,0.001802
52,199.826,2.16573,1.8151,1.83691,0.24942,0.52,0.25941,0.0863,2.26629,2.93392,2.15191,0.00179804,0.00179804,0.00179804
53,203.248,2.10663,1.71746,1.73921,0.39029,0.48,0.47111,0.16325,2.12812,1.78299,1.89471,0.00179408,0.00179408,0.00179408
54,206.743,1.95263,1.87051,1.69243,0.23347,0.32,0.17671,0.07226,2.29351,2.6775,2.05581,0.00179012,0.00179012,0.00179012
55,210.185,2.14487,1.85765,1.83025,0.31734,0.24,0.2749,0.08666,2.36008,2.61609,2.10397,0.00178616,0.00178616,0.00178616
56,213.684,1.99732,1.72659,1.65655,0.32746,0.44,0.3979,0.12659,2.36974,5.92482,2.12204,0.0017822,0.0017822,0.0017822
57,217.087,2.0499,1.75634,1.75982,0.54987,0.5379,0.55867,0.1954,2.05887,1.78901,1.95661,0.00177824,0.00177824,0.00177824
58,220.494,2.23014,1.7956,1.89008,0.41076,0.6,0.49783,0.20918,2.10537,1.75892,2.00786,0.00177428,0.00177428,0.00177428
59,224.108,2.0992,1.60411,1.78988,0.71841,0.307,0.36518,0.12046,2.0705,27.7125,1.9625,0.00177032,0.00177032,0.00177032
60,227.66,2.16227,1.75094,1.9744,0.41782,0.4,0.50813,0.21641,2.02441,1.72572,1.94217,0.00176636,0.00176636,0.00176636
61,231.187,2.095,1.8839,1.84368,0.48219,0.64,0.58093,0.24381,1.78504,1.68623,1.82867,0.0017624,0.0017624,0.0017624
62,234.742,2.18112,1.86709,1.95649,0.42712,0.6,0.51912,0.18377,2.20601,1.85612,1.97702,0.00175844,0.00175844,0.00175844
63,238.181,1.9974,1.66922,1.81452,0.47003,0.44,0.41063,0.13188,2.22525,2.28815,2.0217,0.00175448,0.00175448,0.00175448
64,241.559,2.08397,1.74785,1.75777,0.42144,0.4,0.55122,0.23924,1.92915,1.87406,1.89994,0.00175052,0.00175052,0.00175052
65,244.928,2.03814,1.63781,1.6679,0.60268,0.52,0.55905,0.21847,1.76605,3.33172,1.75452,0.00174656,0.00174656,0.00174656
66,248.252,2.29047,1.67203,1.87792,0.64195,0.64,0.61251,0.27347,1.85804,1.62298,1.79543,0.0017426,0.0017426,0.0017426
67,251.75,2.11097,1.74132,1.78776,0.70461,0.6,0.64119,0.27452,1.82642,2.94326,1.80143,0.00173864,0.00173864,0.00173864
68,255.429,2.09502,1.75281,1.82242,0.40353,0.6,0.52604,0.19812,2.00447,1.72018,1.86561,0.00173468,0.00173468,0.00173468
69,258.869,2.14934,1.78552,1.89439,0.42591,0.76,0.6555,0.22067,1.95463,1.69353,1.90839,0.00173072,0.00173072,0.00173072
70,262.273,2.04966,1.65823,1.7521,0.36555,0.36902,0.38272,0.1279,2.13968,2.27335,2.00456,0.00172676,0.00172676,0.00172676
71,265.712,2.04483,1.56769,1.68147,0.4742,0.52,0.51349,0.14877,2.25295,1.99566,2.01954,0.0017228,0.0017228,0.0017228
72,269.116,2.11151,1.67343,1.84162,0.47776,0.68,0.63473,0.25582,1.99318,1.72549,1.91494,0.00171884,0.00171884,0.00171884
73,272.581,2.1681,1.71412,1.827,0.64438,0.56,0.64644,0.28837,1.84678,1.55737,1.77927,0.00171488,0.00171488,0.00171488
74,276.244,1.91959,1.71978,1.65156,0.53979,0.72,0.64808,0.26034,1.8932,1.61881,1.8438,0.00171092,0.00171092,0.00171092
75,279.719,2.05561,1.68154,1.81487,0.52713,0.44,0.51545,0.21613,1.91997,1.75963,1.82315,0.00170696,0.00170696,0.00170696
76,283.193,2.10095,1.64006,1.79506,0.49912,0.64,0.55771,0.21469,1.92346,1.96895,1.77525,0.001703,0.001703,0.001703
77,286.626,2.07371,1.74618,1.81596,0.3297,0.45278,0.36784,0.13923,1.94957,1.69506,1.85278,0.00169904,0.00169904,0.00169904
78,290.015,1.94381,1.6519,1.667,0.46212,0.55011,0.51115,0.21381,1.88363,1.64116,1.80852,0.00169508,0.00169508,0.00169508
79,293.443,2.00567,1.7754,1.79448,0.54704,0.36,0.39993,0.12204,2.35485,3.48948,2.21576,0.00169112,0.00169112,0.00169112
80,297.013,2.07918,1.65763,1.86187,0.50721,0.64,0.53243,0.22876,2.12251,1.83484,1.93147,0.00168716,0.00168716,0.00168716
81,300.453,2.0136,1.57036,1.79431,0.66451,0.4756,0.55862,0.20707,2.0701,1.73928,1.93334,0.0016832,0.0016832,0.0016832
82,303.891,1.94013,1.52593,1.70265,0.44497,0.52,0.39873,0.11518,2.31822,1.95401,1.99664,0.00167924,0.00167924,0.00167924
83,307.337,2.00228,1.64643,1.62727,0.66433,0.71272,0.61223,0.24858,2.13934,1.57388,1.93424,0.00167528,0.00167528,0.00167528
84,310.724,2.00318,1.68091,1.65364,0.46831,0.64,0.53348,0.24672,1.91207,1.69801,1.83663,0.00167132,0.00167132,0.00167132
85,314.129,2.04297,1.72728,1.78018,0.5225,0.6,0.5567,0.21401,2.05868,1.61635,1.86422,0.00166736,0.00166736,0.00166736
86,317.688,1.889,1.5645,1.66281,0.5859,0.68,0.62644,0.25328,2.0798,1.67292,1.95111,0.0016634,0.0016634,0.0016634
87,321.123,2.08469,1.62354,1.84314,0.49607,0.6,0.64785,0.25583,2.07971,1.52721,1.89058,0.00165944,0.00165944,0.00165944
88,324.564,1.97447,1.67108,1.73312,0.70713,0.64,0.71153,0.27977,2.04971,1.58263,1.93656,0.00165548,0.00165548,0.00165548
89,327.991,1.99626,1.64949,1.71211,0.51897,0.52,0.54995,0.22062,2.02765,1.57675,1.8633,0.00165152,0.00165152,0.00165152
90,331.428,2.02887,1.66196,1.78117,0.46094,0.6,0.57749,0.24435,1.90597,1.96752,1.7726,0.00164756,0.00164756,0.00164756
91,334.84,1.87743,1.63971,1.58384,0.71612,0.60565,0.74693,0.33113,1.69776,1.45072,1.72009,0.0016436,0.0016436,0.0016436
92,338.368,1.96995,1.6228,1.75167,0.65607,0.6,0.62464,0.24564,2.00533,1.61189,1.86595,0.00163964,0.00163964,0.00163964
93,341.906,1.9464,1.56317,1.73786,0.44068,0.44,0.40566,0.14857,2.04265,1.97484,1.8825,0.00163568,0.00163568,0.00163568
94,345.372,1.73831,1.4339,1.6357,0.45232,0.64,0.59457,0.25682,1.88308,1.63305,1.77894,0.00163172,0.00163172,0.00163172
95,348.831,2.0176,1.78114,1.68301,0.58536,0.64,0.59381,0.18133,2.03186,2.90876,1.82112,0.00162776,0.00162776,0.00162776
