epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,83.491,1.913,1.38135,1.10733,0.67456,0.7,0.77487,0.30371,1.9554,3.34878,1.19552,0.0016964,0.0016964,0.0016964
48,84.6975,1.87666,1.29429,1.11569,0.65713,0.6,0.59378,0.29576,1.96963,7.04617,1.19179,0.0016898,0.0016898,0.0016898
49,85.7867,1.8635,1.35906,1.14484,0.58506,0.6,0.66619,0.31546,2.00412,2.75318,1.17237,0.0016832,0.0016832,0.0016832
50,86.9759,2.06017,1.45125,1.22456,0.67961,0.85049,0.76078,0.30653,1.94394,4.03379,1.16648,0.0016766,0.0016766,0.0016766
51,88.0034,1.91168,1.52344,1.03046,0.65544,0.5,0.62087,0.25482,2.12164,5.21964,1.22442,0.00167,0.00167,0.00167
52,89.0696,1.89186,1.54429,1.19968,0.55922,0.4,0.4579,0.18208,2.13858,4.39075,1.5594,0.0016634,0.0016634,0.0016634
53,90.137,1.76466,1.6196,1.12619,0.39132,0.5,0.29705,0.13546,3.13042,6.5557,2.38003,0.0016568,0.0016568,0.0016568
54,91.1773,1.61003,1.28681,0.99458,0.75635,0.7,0.70168,0.24787,2.78879,2.80809,1.7346,0.0016502,0.0016502,0.0016502
55,92.2128,2.03424,1.41317,1.1981,0.68476,0.6,0.76357,0.28502,2.38766,2.45419,1.43419,0.0016436,0.0016436,0.0016436
56,93.2554,1.70844,1.25013,1.01628,0.86625,0.65099,0.75342,0.33409,2.04865,2.69776,1.20666,0.001637,0.001637,0.001637
57,94.434,1.99367,1.57101,1.15572,0.77174,0.7,0.6524,0.35239,2.51054,4.65243,1.33619,0.0016304,0.0016304,0.0016304
58,95.6136,2.03981,1.27944,1.18222,0.88169,0.74817,0.83349,0.42576,1.92473,3.3132,1.12741,0.0016238,0.0016238,0.0016238
59,96.7808,1.91501,1.40791,1.13201,0.70551,0.8,0.80186,0.41476,1.78522,2.38027,1.09253,0.0016172,0.0016172,0.0016172
60,97.8407,1.95301,1.52768,1.20616,0.80823,0.7,0.81535,0.42788,1.50218,2.11552,1.03351,0.0016106,0.0016106,0.0016106
61,99.0355,1.93335,1.53677,1.2103,0.91878,0.8,0.91423,0.54633,1.27496,2.56532,1.01365,0.001604,0.001604,0.001604
62,100.198,1.78,1.21695,1.03222,0.82624,0.8,0.8912,0.58837,1.22393,1.7442,1.05168,0.0015974,0.0015974,0.0015974
63,101.342,1.5848,1.20753,1.06566,0.79609,0.78239,0.83265,0.4737,1.36342,1.62216,1.09191,0.0015908,0.0015908,0.0015908
64,102.406,1.87581,1.22086,1.16847,0.82068,0.8,0.84516,0.45411,1.53908,1.73376,1.11247,0.0015842,0.0015842,0.0015842
65,103.45,1.59122,1.07979,1.02269,0.87319,0.8,0.81187,0.43312,2.06259,2.16859,1.24873,0.0015776,0.0015776,0.0015776
66,104.547,1.91998,1.22631,1.21766,0.87497,0.8,0.80482,0.38826,2.04524,2.52452,1.24643,0.001571,0.001571,0.001571
67,105.607,1.79509,1.24832,1.07149,0.93431,0.8,0.815,0.39887,2.0841,3.10188,1.22589,0.0015644,0.0015644,0.0015644
68,106.705,1.81532,1.21634,1.07254,0.96606,0.8,0.81695,0.42431,1.91775,3.19568,1.18944,0.0015578,0.0015578,0.0015578
69,107.812,1.79139,1.45406,1.02861,0.86466,0.8,0.7905,0.3886,1.95036,2.39807,1.15706,0.0015512,0.0015512,0.0015512
70,108.918,1.83547,1.47121,1.12096,0.86848,0.8,0.89269,0.44175,1.90399,1.32333,1.15974,0.0015446,0.0015446,0.0015446
71,109.966,1.66355,1.21635,1.06304,0.82114,0.8,0.88111,0.4588,1.674,1.52334,1.10359,0.001538,0.001538,0.001538
72,111.058,1.76639,1.34501,1.15984,0.67738,0.9,0.85219,0.43885,1.62008,1.68182,1.07635,0.0015314,0.0015314,0.0015314
73,112.11,1.77615,1.38219,1.1584,0.88098,0.9,0.90278,0.44131,1.79776,2.06165,1.11607,0.0015248,0.0015248,0.0015248
74,113.15,1.7274,1.32488,1.09212,0.79778,0.8,0.83797,0.36475,1.99898,2.50869,1.17305,0.0015182,0.0015182,0.0015182
75,114.18,1.80366,1.50519,1.08487,0.73065,0.81486,0.89041,0.37084,2.07333,2.24348,1.19817,0.0015116,0.0015116,0.0015116
76,115.238,1.97077,1.55448,1.16859,0.7216,0.8,0.87173,0.3585,1.53819,1.85436,1.17773,0.001505,0.001505,0.001505
77,116.279,1.68314,1.34567,1.16092,0.79581,0.9,0.89284,0.41872,1.61708,2.78676,1.14634,0.0014984,0.0014984,0.0014984
78,117.37,1.82525,1.30687,1.14522,0.66599,1,0.86903,0.43558,1.94829,3.9734,1.18274,0.0014918,0.0014918,0.0014918
79,118.412,1.87859,1.61088,1.05427,0.60737,0.9,0.85168,0.42534,1.8675,3.47568,1.16819,0.0014852,0.0014852,0.0014852
80,119.492,2.03191,1.45783,1.21932,0.58728,0.7123,0.81262,0.39456,1.61453,2.16101,1.108,0.0014786,0.0014786,0.0014786
81,120.583,1.74288,1.33938,1.08545,0.70112,0.94011,0.85532,0.33524,1.66014,1.68485,1.13743,0.001472,0.001472,0.001472
82,121.652,1.77801,1.28662,1.09166,0.68983,0.8,0.82417,0.31714,1.6387,1.69855,1.15989,0.0014654,0.0014654,0.0014654
83,122.732,1.80992,1.11831,1.17302,0.71686,0.8,0.81806,0.33619,1.41861,1.8722,1.11262,0.0014588,0.0014588,0.0014588
84,123.796,1.67462,1.06574,1.09526,0.59453,0.9,0.78394,0.39151,1.53682,1.73719,1.08625,0.0014522,0.0014522,0.0014522
85,124.907,1.79646,1.05771,1.10013,0.73007,0.7,0.89262,0.52793,1.74699,1.41644,1.1098,0.0014456,0.0014456,0.0014456
86,125.998,1.78943,1.10987,1.06561,0.70366,1,0.90536,0.47876,1.51762,1.42549,1.05508,0.001439,0.001439,0.001439
87,127.085,1.74097,1.6165,1.03692,0.7628,0.9,0.9253,0.45255,1.44665,1.44422,1.06602,0.0014324,0.0014324,0.0014324
88,128.174,1.80591,1.13707,1.11999,0.74741,0.88861,0.83587,0.40413,1.47484,1.72326,1.06694,0.0014258,0.0014258,0.0014258
89,129.278,1.77445,1.04193,1.11062,1,0.7934,0.89406,0.46152,1.59994,1.92618,1.04869,0.0014192,0.0014192,0.0014192
90,130.357,1.85384,1.13591,1.1179,0.90531,0.8,0.90226,0.47002,1.54657,1.85194,1.02628,0.0014126,0.0014126,0.0014126
91,131.401,1.75303,1.14353,1.0852,0.8125,0.86876,0.85961,0.43446,1.61051,2.62633,1.06533,0.001406,0.001406,0.001406
92,132.455,1.94126,1.19698,1.24713,0.88028,0.9,0.88722,0.46407,1.64227,2.88366,1.08198,0.0013994,0.0013994,0.0013994
