epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,173.116,2.4343,2.17957,2.72072,0.48988,0.26667,0.34913,0.13505,2.14122,2.93684,2.85192,0.00187837,0.00187837,0.00187837
45,176.304,2.13753,2.40722,2.3229,0.32433,0.53333,0.36625,0.13802,2.12258,3.78435,2.83197,0.00187554,0.00187554,0.00187554
46,179.537,2.43797,2.42212,2.64296,0.40957,0.46667,0.40313,0.15867,2.18613,2.44846,2.83404,0.00187271,0.00187271,0.00187271
47,182.784,2.33102,2.3513,2.50516,0.21214,0.6,0.23564,0.08811,2.50548,9.82273,3.03427,0.00186989,0.00186989,0.00186989
48,186.092,2.55164,2.23294,2.66416,0.1697,0.4,0.19972,0.04617,2.68177,19.57,3.13568,0.00186706,0.00186706,0.00186706
49,189.3,2.43612,2.2115,2.61513,0.35291,0.32762,0.32754,0.16415,2.26093,2.49745,2.77653,0.00186423,0.00186423,0.00186423
50,192.537,2.31721,2.18856,2.50592,0.18701,0.13333,0.2664,0.10002,2.60933,3.16861,2.98458,0.0018614,0.0018614,0.0018614
51,195.752,2.2448,2.36095,2.41827,0.21776,0.46667,0.19572,0.05506,3.12175,2.24816,3.47726,0.00185857,0.00185857,0.00185857
52,198.962,2.27312,2.25894,2.53554,0.40894,0.4,0.38692,0.13264,2.18722,6.53417,2.84994,0.00185574,0.00185574,0.00185574
53,202.25,2.13097,2.32834,2.2635,0.16842,0.26667,0.25396,0.12817,1.99938,17.3005,2.73162,0.00185291,0.00185291,0.00185291
54,205.494,2.29384,2.32352,2.38455,0.45583,0.55928,0.46443,0.19312,2.18477,2.41883,2.77338,0.00185009,0.00185009,0.00185009
55,208.855,2.36602,2.22319,2.5068,0.49291,0.66667,0.54663,0.20194,2.05564,1.88888,2.70491,0.00184726,0.00184726,0.00184726
56,212.254,2.48761,2.21323,2.56245,0.20419,0.13333,0.16935,0.05308,2.44306,2.70141,2.82297,0.00184443,0.00184443,0.00184443
57,215.494,2.44101,2.33091,2.44614,0.44972,0.4,0.52766,0.19406,2.0004,2.44449,2.72936,0.0018416,0.0018416,0.0018416
58,218.704,2.38095,2.17389,2.50284,0.50843,0.26667,0.35329,0.1109,2.13523,1.90932,2.92182,0.00183877,0.00183877,0.00183877
59,221.996,2.23001,2.17707,2.4548,0.25048,0.4,0.32035,0.13503,2.12744,11.5705,2.77901,0.00183594,0.00183594,0.00183594
60,225.249,2.20826,2.17732,2.37575,0.83775,0.13333,0.16936,0.0754,2.04949,16.661,2.6817,0.00183311,0.00183311,0.00183311
61,228.488,2.10658,2.00252,2.33591,0.38142,0.6,0.41356,0.1528,1.94405,8.07895,2.63192,0.00183029,0.00183029,0.00183029
62,231.762,2.15032,2.24336,2.30264,0.3599,0.46667,0.31119,0.09968,2.34639,2.15657,2.78536,0.00182746,0.00182746,0.00182746
63,234.958,2.10063,2.30907,2.29038,0.43394,0.56302,0.32741,0.0938,2.52007,2.18491,2.93919,0.00182463,0.00182463,0.00182463
64,238.191,2.12796,2.27903,2.3474,0.20372,0.53333,0.31542,0.09912,2.22695,55.9271,2.73085,0.0018218,0.0018218,0.0018218
65,241.434,2.5296,2.77767,2.66111,0.49855,0.3316,0.39392,0.15886,1.83022,4.30475,2.64761,0.00181897,0.00181897,0.00181897
66,244.696,2.35011,2.30141,2.52105,0.58028,0.13333,0.25323,0.10586,1.99701,3.7864,2.67671,0.00181614,0.00181614,0.00181614
67,247.939,2.13828,2.27314,2.29858,0.00918,0.6,0.0508,0.00992,2.60778,3.29636,2.89206,0.00181331,0.00181331,0.00181331
68,251.174,2.47503,1.97911,2.54185,0.57214,0.4,0.47785,0.14612,2.49377,2.77065,2.92555,0.00181049,0.00181049,0.00181049
69,254.455,2.11056,2.19076,2.3269,0.51094,0.34938,0.52127,0.20498,2.28346,2.24747,2.77646,0.00180766,0.00180766,0.00180766
70,257.849,2.23156,1.98989,2.41977,0.39523,0.56716,0.4934,0.19154,2.0755,2.30441,2.72003,0.00180483,0.00180483,0.00180483
71,261.084,2.34863,2.09174,2.54397,0.48015,0.2,0.39141,0.14527,2.58737,2.64582,2.86546,0.001802,0.001802,0.001802
72,264.332,2.306,2.07237,2.47327,0.48344,0.43796,0.46144,0.12515,2.37068,2.52075,2.80741,0.00179917,0.00179917,0.00179917
73,267.582,2.33943,2.46187,2.36214,0.52006,0.46667,0.47849,0.22686,2.15137,2.54878,2.77593,0.00179634,0.00179634,0.00179634
74,270.945,2.31283,2.09779,2.50619,0.44976,0.26667,0.39836,0.18695,1.95536,8.56397,2.69944,0.00179351,0.00179351,0.00179351
75,274.241,2.15638,2.12803,2.52396,0.32324,0.66667,0.42055,0.20531,1.94508,4.28973,2.58981,0.00179069,0.00179069,0.00179069
76,277.485,2.09375,2.31999,2.32354,0.37513,0.53333,0.38113,0.20736,2.2781,1.92481,2.76396,0.00178786,0.00178786,0.00178786
77,280.732,2.05517,2.01825,2.28823,0.27096,0.46667,0.32394,0.12761,2.11045,2.14954,2.65307,0.00178503,0.00178503,0.00178503
78,284.014,2.15184,2.1507,2.22682,0.73053,0.13333,0.26203,0.11118,2.29563,3.08691,2.81192,0.0017822,0.0017822,0.0017822
79,287.253,2.15227,2.07992,2.36963,0.29728,0.46667,0.33264,0.12185,1.98932,2.29931,2.65438,0.00177937,0.00177937,0.00177937
80,290.459,1.97128,2.24012,2.25413,0.40685,0.53333,0.42779,0.1615,2.07245,1.91562,2.70534,0.00177654,0.00177654,0.00177654
81,293.679,2.4835,2.53882,2.54795,0.47023,0.35634,0.4022,0.17029,2.08826,1.79329,2.71616,0.00177371,0.00177371,0.00177371
82,296.931,2.24353,2.10419,2.56131,0.38574,0.54469,0.43399,0.20318,2.01363,1.72318,2.6174,0.00177089,0.00177089,0.00177089
83,300.173,2.02927,1.92682,2.24441,0.45189,0.46667,0.45281,0.17169,2.07948,1.92458,2.72948,0.00176806,0.00176806,0.00176806
84,303.454,2.15617,2.12682,2.34326,0.48878,0.33333,0.54308,0.13671,2.39003,2.25361,2.88274,0.00176523,0.00176523,0.00176523
85,306.708,2.3336,1.98259,2.4345,0.31848,0.4,0.55714,0.18214,2.24667,1.781,2.70883,0.0017624,0.0017624,0.0017624
86,310.014,2.36348,2.17597,2.64261,0.50483,0.53333,0.52977,0.22307,1.98495,2.23912,2.64551,0.00175957,0.00175957,0.00175957
87,313.322,2.288,2.05371,2.44116,0.55654,0.46667,0.49474,0.15416,2.25315,11.3994,2.78346,0.00175674,0.00175674,0.00175674
88,316.588,2.06643,2.15184,2.30148,0.44635,0.66667,0.57216,0.18278,2.30213,2.19586,2.81219,0.00175391,0.00175391,0.00175391
89,319.81,2.07283,2.08435,2.49244,0.65677,0.63895,0.72015,0.2805,2.17978,1.54404,2.71945,0.00175109,0.00175109,0.00175109
90,323.179,2.17355,2.13595,2.47759,0.58925,0.8,0.72177,0.27221,2.25403,1.97271,2.77636,0.00174826,0.00174826,0.00174826
91,326.425,2.09305,1.98936,2.49306,0.38922,0.46667,0.51018,0.18403,2.00332,1.88272,2.56516,0.00174543,0.00174543,0.00174543
